price,src_stops,dest_stops,src_airport_stops,dest_airport_stops,src_duration,dest_duration,src_airport,dest_airport,src_time,dest_time,src_carrier,dest_carrier,sort
$401,0,1,,DTW,5h 49m,6h 54m,EWR ‐ LAX,LAX ‐ LGA,9:00 am — 11:49 am,9:50 pm — 7:44 am +1,United Airlines,Spirit Airlines,best
$472,0,0,,,5h 45m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 45m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,4:59 pm — 7:58 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$495,0,0,,,5h 49m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 49m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
$497,0,0,,,6h 05m,5h 00m,JFK ‐ LAX,LAX ‐ EWR,1:25 pm — 4:30 pm,9:15 pm — 5:15 am +1,Alaska Airlines,United Airlines,best
$497,0,0,,,6h 15m,5h 00m,JFK ‐ LAX,LAX ‐ EWR,8:05 pm — 11:20 pm,9:15 pm — 5:15 am +1,Alaska Airlines,United Airlines,best
$401,0,1,,DTW,5h 49m,6h 54m,EWR ‐ LAX,LAX ‐ LGA,9:00 am — 11:49 am,9:50 pm — 7:44 am +1,United Airlines,Spirit Airlines,best
$472,0,0,,,5h 45m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 45m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,4:59 pm — 7:58 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$495,0,0,,,5h 49m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 49m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
$497,0,0,,,6h 05m,5h 00m,JFK ‐ LAX,LAX ‐ EWR,1:25 pm — 4:30 pm,9:15 pm — 5:15 am +1,Alaska Airlines,United Airlines,best
$497,0,0,,,6h 15m,5h 00m,JFK ‐ LAX,LAX ‐ EWR,8:05 pm — 11:20 pm,9:15 pm — 5:15 am +1,Alaska Airlines,United Airlines,best
$401,0,1,,DTW,5h 49m,6h 54m,EWR ‐ LAX,LAX ‐ LGA,9:00 am — 11:49 am,9:50 pm — 7:44 am +1,United Airlines,Spirit Airlines,best
$472,0,0,,,5h 45m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 45m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,7:00 am — 9:45 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 49m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,9:00 am — 11:49 am,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 00m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,9:15 pm — 5:15 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,4:59 pm — 7:58 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$472,0,0,,,5h 59m,5h 01m,EWR ‐ LAX,LAX ‐ EWR,3:00 pm — 5:59 pm,11:15 pm — 7:16 am +1,United Airlines,United Airlines,best
$495,0,0,,,5h 49m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 49m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,9:00 am — 11:49 am,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 33m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,5:30 am — 2:03 pm,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,3:00 pm — 5:59 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
$495,0,0,,,5h 59m,5h 43m,EWR ‐ LAX,LAX ‐ JFK,4:59 pm — 7:58 pm,12:25 am — 9:08 am,United Airlines,JetBlue,best
